Handle,Titre,Vendeur,Prix_vente,Prix_barre,Economie,Remise_pct,Description,Image,Marque,Type,Categorie
laveuse-industrielle-imesa-lm23im8,Laveuse Industrielle IMESA LM23IM8,Imesa,12995.0,17640.0,4645.0,26.0,"Laveuse industrielle à super essorage LM23IM6 Laveuse à super essorage pour blanchisseries industrielles, collectivités, pressing, … Palier en fonte d’une seule pièce avec 2 roulements SKF et étanchéité par bagues graphites Cuve, tambour et carrosserie en inox Grande ouverture de chargement Microprocesseur paramétrable à usage simple Consommation d’eau réduite, gestion au cm près Chauffage électrique par résistances en inox Incoloy et/ou vapeur directe Garantie 2 ans toutes pièces / 4 ans sur le palier Cuve, tambour, panneaux supérieurs frontaux et latéraux en inox AISI304. Châssis mécano soud",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Antenne_Omnimax_Hertzienne_DMS_DMS2344_4.png?v=1770392518,,Cuisson professionnelle,Non classé
laveuse-industrielle-imesa-lm18im8,Laveuse Industrielle IMESA LM18IM8,Imesa,10785.0,14640.0,3855.0,26.0,"Laveuse industrielle à super essorage LM18IM6 Laveuse à super essorage pour blanchisseries industrielles, collectivités, pressing, … Palier en fonte d’une seule pièce avec 2 roulements SKF et étanchéité par bagues graphites Cuve, tambour et carrosserie en inox Grande ouverture de chargement 400 mm Microprocesseur paramétrable à usage simple Consommation d’eau réduite, gestion au cm près Chauffage électrique par résistances en inox Incoloy et/ou vapeur directe Garantie 2 ans toutes pièces / 4 ans sur le palier Cuve, tambour, panneaux supérieurs frontaux et latéraux en inox AISI304 Châssis mécan",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Antenne_Omnimax_Hertzienne_DMS_DMS2344_4.png?v=1770392518,,Cuisson professionnelle,Non classé
laveuse-industrielle-imesa-lm14im8,Laveuse Industrielle IMESA LM14IM8,Imesa,8790.0,12120.0,3330.0,27.0,"Laveuse industrielle à super essorage LM14IM8 Laveuse à super essorage pour collectivités, pressing, … Palier en fonte d’une seule pièce avec 2 roulements SKF et étanchéité par bagues graphites Cuve, tambour et carrosserie en inox Grande ouverture de chargement 400 mm Microprocesseur IM8 ( consultez la fiche pour plus d'informations ) Consommation d’eau réduite Moteur à convertisseur de fréquence Inverter Chauffage électrique par résistances en inox Incoloy et/ou vapeur directe Garantie 2 ans toutes pièces / 4 ans sur le palier Cuve, tambour, panneaux supérieurs frontaux et latéraux en inox AI",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Antenne_Omnimax_Hertzienne_DMS_DMS2344_4.png?v=1770392518,,Cuisson professionnelle,Non classé
centre-de-cuisson-piano-opera-gaz-150cm-inox-smeg-a5-8,Centre de cuisson Piano Opéra Gaz 150cm Inox SMEG A5-8,SMEG,6408.0,8896.0,2488.0,28.0,"Centre de cuisson Piano Opéra Gaz 150cm Inox SMEG A5-8 Plan de cuisson gaz : 7 brûleurs dont : Arrière gauche extérieur : 1,80 kW Avant gauche extérieur ultra-rapide : 4,20 kW Arrière gauche : 3,00 kW Avant gauche : 1,00 kW Arrière droit poissonnière : 1,90 kW Avant droit : 1,00 kW Extérieur droit ultra-rapide : 4,50 kW Puissance nominale gaz : 19,00 kW Barbecue-gril électrique teflon : 1,60 kW Grilles affleurantes en fonte Chapeaux de brûleurs émaillés fonte Allumage électronique intégré aux manettes Sécurité thermocouples rapides Réglé au gaz naturel Injecteurs gaz butane/propane fournis Acc",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/CentredecuissonPianoOperaGaz150cmInoxSMEGA5-8.png?v=1772645867,SMEG,Centre de cuisson,Non classé
generateur-diesel-2-5-kw-230-v-dometic-tec-30ev,"Générateur diesel, 2,5 kW, 230 V Dometic TEC 30EV",Dometic,8872.0,11339.0,2467.0,22.0,"Fiche technique Pièces fournies Generator, control panel + 5mt cable, external silencer + 2mt flexible exhaust pipe, change over switch, clamps, washers, fuel filter, cut out template, user and installation manuals Dimensions : L 572 x P 466 x H 500 mm Poids : 78 kg Tension de sortie [V] 230 V Courant de sortie [A] 10.90 A Puissance continue 25°C 2500.00 W Température de fonctionnement min -15.00 °C Température de fonctionnement max 50.00 °C Type de carburant Diesel Dimensions du colis : L 785 x P 510 x H 518 mm Poids du colis : 84 kg Manuel d'utilisation",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Generateurdiesel_2_5kW_230VDometicTEC30EV.png?v=1772119259,Dometic,Énergie mobile,Non classé
laveuse-industrielle-imesa-lm11im8,Laveuse Industrielle IMESA LM11IM8,Imesa,6415.0,8700.0,2285.0,26.0,"Laveuse à super essorage pour collectivités, pressing, … Palier en fonte d’une seule pièce avec 2 roulements SKF et étanchéité par bagues graphites Cuve, tambour et carrosserie en inox Grande ouverture de chargement Programmateur standard à usage simple Consommation d’eau réduite, gestion au cm près Moteur à convertisseur de fréquence Inverter Chauffage électrique par résistances en inox Incoloy et/ou vapeur directe Garantie 2 ans toutes pièces / 4 ans sur le palier Cuve, tambour, panneaux supérieurs frontaux et latéraux en inox AISI304 Châssis mécano soudé de forte section Cuve suspendue à 4 ",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/Antenne_Omnimax_Hertzienne_DMS_DMS2344_4.png?v=1770392518,,Cuisson professionnelle,Non classé
generateur-a-essence-dometic-t-4000h,Générateur à essence Dometic T 4000H,Dometic,7209.0,9209.0,2000.0,22.0,Générateur à essence Dometic T 4000H Caractéristiques : Puissance : 3500W Température : -10°C à +50°C Description : Ce générateur à essence offre une alimentation de 3500W en continu. Cela suffit à alimenter deux climatiseurs ou d’autres appareils à forte consommation d’énergie nécessitant une alimentation sur site de 230V AC. Fournit une alimentation 230V AC dans des endroits reculés où il n’y a pas d’alimentation électrique Haute performance : sortie continue de 3500W Sortie 12V pratique pour le chargement de la batterie Télécommande comprise dans la livraison Le logement en acier inoxydable,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/GenerateuraessenceDometicT4000H.png?v=1771080970,Dometic,Énergie mobile,Non classé
centre-de-cuisson-piano-opera-gaz-120cm-inox-smeg-a3-7,Centre de cuisson Piano Opéra Gaz 120cm Inox SMEG A3-7,SMEG,5289.0,7109.0,1820.0,26.0,"Centre de cuisson Piano Opéra Gaz 120cm Inox SMEG A3-7 Plan de cuisson gaz : 6 brûleurs dont : Arrière gauche : 1,80 kW Avant gauche ultra-rapide : 4,20 kW Arrière central : 3,00 kW Avant central : 1,05 kW Arrière droit poissonnière : 1,90 kW Avant droit : 1,05 kW Puissance nominale gaz : 13,00 kW Barbecue-gril électrique teflon : 1,60 kW Grilles affleurantes en fonte Chapeaux de brûleurs émaillés fonte Allumage électronique intégré aux manettes Sécurité thermocouples rapides Réglé au gaz naturel Injecteurs gaz butane/propane fournis Accès aisé pour changement injecteurs Cuvette anti-débordeme",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/CentredecuissonPianoOperaGaz100cmInoxSMEGA2-8_10ef806d-efdc-43ee-b228-82c1a38fa44b.png?v=1772645654,SMEG,Centre de cuisson,Non classé
presse-oranges-automatique-avec-bac-a-jus-et-table-inox-santos-po32t,Presse oranges automatique avec bac a jus et table inox SANTOS PO32T,Santos,7932.0,9697.0,1765.0,18.0,"Presse agrume automatique 32T avec bac à jus et table Inox Possibilité d’acheter pièces détachées : Oui https://shop.euras.com/eshopmvc/request?g7=2845040N g7=2845040N Moteur : Asynchrone monophasé ( protection par module électronique ) 220-240 V - 50/60 Hz - 600 W 100-120 V - 50/60 Hz - 600 W 1500 Tr/mn (50 Hz) 1800 Tr/mn (60 Hz) Matériaux : Alliage d'aluminium alimentaire, Acier inox, cuve rilsanisée. Toutes les pièces en contact avec le jus sont de qualité alimentaire Poids : Net : 65,5kg (143 lbs) + 21 kg (46 lbs) Emballé : 73 kg (160 lbs) + 25 kg (55 lbs) Dimension : Net : P: 770 mm (30"")",https://cdn.shopify.com/s/files/1/0982/1428/1557/files/1_5692516c-87d4-4a8b-998a-4a041169f0b9.png?v=1769598770,,Robot culinaire,Non classé
hotte-plafond-inox-neff-i90cn48w0,Hotte Plafond Inox N70 Neff I90CN48W0,NEFF,1590.0,3135.0,1545.0,49.0,Hotte plafond inox NEFF I90CN48W0 Possibilité d’acheter pièces détachées : Oui https://shop.euras.com/anfrage.php?g7=2845040N Type de hotte :Hotte conçue pour être fixée directement au plafond de la cuisine Circulation de l'air :La circulation de l'air aspiré s'effectue par recyclage Pose / Installation :La pose de la hotte s'effectue par accroche au plafond Informations sur les filtres : L'appareil dispose de 2 filtres métalliques lavables au lave-vaisselle 1 filtre à charbon Témoin de saturation :Oui (permet de savoir quand il faut laver ou changer le filtre) Protège filtre :Un protège filtr,https://cdn.shopify.com/s/files/1/0982/1428/1557/files/HottePlafondInoxN70NeffI90CN48W0.png?v=1771679440,NEFF,Hotte,Non classé
